user_id,term_id,study_year_no,semester_no,avg_score,studied_credits,study_goal,study_mode,main_subject_id,main_subject_name,gender,age_group,region,cohort_id,avatar_url,full_name,curriculum_id,start_academic_year,total_study_years,academic_year_start,academic_year_end,term_semester_no,term_full_name,status,total_clicks,age_level,time_slot_0,time_slot_1,time_slot_2,time_slot_3,time_slot_4,time_slot_5,time_slot_6,time_slot_7,time_slot_8,time_slot_9,time_slot_10,time_slot_11,time_slot_12,time_slot_13,time_slot_14,time_slot_15,time_slot_16,time_slot_17,time_slot_18,time_slot_19,time_slot_20,time_slot_21,time_slot_22,time_slot_23,time_slot_24,time_slot_25,time_slot_26,time_slot_27,time_slot_28,time_slot_29,time_slot_30,time_slot_31,time_slot_32,time_slot_33,time_slot_34,time_slot_35,time_slot_36,time_slot_37,time_slot_38,time_slot_39,time_slot_40,time_slot_41,curriculum_subject_ids,curriculum_subject_count,enrolled_subject_ids,enrolled_subject_count,semester_context_subject_ids,semester_subject_count
1,2,4,2,8.3,23,High Achiever,mutual_support,62.0,Chuyên đề WEB,male,0-35,Thành phố Hồ Chí Minh,1,,Nguyễn Thành Bình,1,2022,4,2022,2023,2,Học kỳ 2 - Năm học 2022 - 2023,completed,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[60, 61, 64, 65]",4,"[60, 61, 63, 64, 65, 66, 67, 68, 69]",9
1,8,4,2,5.63,108,Survivor,mutual_support,64.0,Thương mại điện tử,male,0-35,Thành phố Hồ Chí Minh,1,,Nguyễn Thành Bình,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[60, 61, 67, 69]",4,"[60, 61, 62, 63, 65, 66, 67, 68, 69]",9
3,8,4,2,5.77,103,Survivor,challenge,60.0,Chuyên đề Java,female,0-35,Thành phố Đà Nẵng,1,,Huỳnh Hải Long,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[62, 63, 66, 68, 69]",5,"[61, 62, 63, 64, 65, 66, 67, 68, 69]",9
4,8,4,2,8.8,126,High Achiever,mutual_support,64.0,Thương mại điện tử,male,0-35,Gia Lai,1,,Huỳnh Thành Trang,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[61, 63, 65, 67, 68]",5,"[60, 61, 62, 63, 65, 66, 67, 68, 69]",9
5,8,4,2,5.89,115,Passive Learner,mutual_support,63.0,Hệ thống thông tin quản lý,male,0-35,Khánh Hòa,1,,Hoàng Anh Lâm,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[61, 66, 68]",3,"[60, 61, 62, 64, 65, 66, 67, 68, 69]",9
6,8,4,2,6.46,104,Passive Learner,challenge,68.0,Khởi nghiệp,male,0-35,Thành phố Hồ Chí Minh,1,,Phan Hải Sơn,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[61, 62, 67, 69]",4,"[60, 61, 62, 63, 64, 65, 66, 67, 69]",9
7,8,4,2,7.1,128,Standard Learner,peer_support,63.0,Hệ thống thông tin quản lý,female,0-35,Cà Mau,1,,Hoàng Hải Sơn,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[61, 62, 66]",3,"[60, 61, 62, 64, 65, 66, 67, 68, 69]",9
8,8,4,2,7.01,106,Standard Learner,support,69.0,Chuẩn đầu ra B1,male,0-35,Thành phố Hà Nội,1,,Hoàng Khánh Trang,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[63, 65, 67, 68]",4,"[60, 61, 62, 63, 64, 65, 66, 67, 68]",9
9,8,4,2,7.38,128,Standard Learner,peer_support,69.0,Chuẩn đầu ra B1,male,0-35,Cà Mau,1,,Nguyễn Khánh Khang,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[60, 64, 66, 67]",4,"[60, 61, 62, 63, 64, 65, 66, 67, 68]",9
10,8,4,2,8.24,101,High Achiever,mutual_support,62.0,Chuyên đề WEB,male,0-35,Cà Mau,1,,Nguyễn Bảo An,1,2022,4,2025,2026,2,Học kỳ 2 - Năm học 2025 - 2026,active,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",10,"[61, 68, 69]",3,"[60, 61, 63, 64, 65, 66, 67, 68, 69]",9
